title,price,link,store,category,query,brand_or_model,model,suffix
"آبل آيفون 16 برو (256 جيجابايت) - تيتانيوم طبيعي مع معرف الوجه، (ضمان رسمي لمدة سنتين)",86500,https://www.amazon.eg/%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJ1ZP3Q/ref=sr_1_5,Amazon,mobiles,apple,ايفون,16,برو
موبايل ايفون 16 برو ماكس سعة (256 جيجابايت) من ابل- لون أسود تيتانيوم,74950,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85/dp/B0DGJ2FB85/ref=sr_1_6,Amazon,mobiles,apple,ايفون,16,برو
"ابل موبايل ايفون 16 (128 جيجابايت) - الترا مارين مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",57777,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJ7TGDR/ref=sr_1_8,Amazon,mobiles,apple,ايفون,16,
موبايل آيفون 16 برو (128GB) بلون تيتانيوم ديزيرت مع خاصية التعرف على الوجه من آبل,77999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85-%D8%AF%D9%8A%D8%B2%D9%8A%D8%B1%D8%AA-%D8%A7%D9%84%D8%AA%D8%B9%D8%B1%D9%81/dp/B0DGHZQXTJ/ref=sr_1_10,Amazon,mobiles,apple,ايفون,16,برو
ابل آيفون 15 (128 جيجابايت) - بينك,49165,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-15-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0CHXHSD5X/ref=sr_1_11,Amazon,mobiles,apple,ايفون,15,
"موبايل ابل ايفون 13 مع فيس تايم (128 جيجابايت) - أزرق، بشريحتين",32844.15,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D8%A8%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D8%AA%D8%A7%D9%8A%D9%85-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B09G9DZFQ7/ref=sr_1_12,Amazon,mobiles,apple,ايفون,13,
"ابل موبايل ايفون 16 بلس (128 جيجابايت) - اخضر مع خاصية التعرف على الوجه، (ضمان ضمان لمدة عامين)",66999,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D9%84%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJCSH8R/ref=sr_1_13,Amazon,mobiles,apple,ايفون,16,
ابل موبايل ايفون 16 برو ماكس (256 جيجابايت) - ديزرت تيتانيوم,73732.45,https://www.amazon.eg/%D8%A7%D8%A8%D9%84-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%85%D8%A7%D9%83%D8%B3-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJKQ3KW/ref=sr_1_14,Amazon,mobiles,apple,ايفون,16,برو
موبايل آيفون 16 برو 256 جيجابايت من آبل تيتانيوم رملي ديزرت,71550,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85-%D8%AF%D9%8A%D8%B2%D8%B1%D8%AA/dp/B0DGJ8C7T3/ref=sr_1_15,Amazon,mobiles,apple,ايفون,16,برو
موبايل آيفون 16 برو (128 جيجابايت) - تيتانيوم أبيض مع خاصية التعرف على الوجه من آبل,77999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHS5NND/ref=sr_1_16,Amazon,mobiles,apple,ايفون,16,برو
"موبايل آبل آيفون 16 برو (ذاكرة 256 جيجابايت)، لون أبيض تيتانيوم",71500,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%B0%D8%A7%D9%83%D8%B1%D8%A9-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%AA%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%85/dp/B0DGJFHR2J/ref=sr_1_17,Amazon,mobiles,apple,ايفون,16,برو
موبايل آبل آيفون 16 برو (128 جيجابايت) - تيتانيوم طبيعي مع خاصية التعرف على الوجه,71999,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D8%B1%D9%88-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHPQJLP/ref=sr_1_18,Amazon,mobiles,apple,ايفون,16,برو
موبايل آبل آيفون 16 (128 جيجابايت) - لون أزرق مخضر,51550,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGJHBXPG/ref=sr_1_21,Amazon,mobiles,apple,ايفون,16,
آبل آيفون 16 (128 جيجابايت) - أبيض بشريحتين,52950,https://www.amazon.eg/%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-16-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA/dp/B0DGHW3KKX/ref=sr_1_22,Amazon,mobiles,apple,ايفون,16,
"موبايل آبل آيفون 16 بلس (128 GB)، أزرق",57750,https://www.amazon.eg/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A2%D8%A8%D9%84-%D8%A2%D9%8A%D9%81%D9%88%D9%86-%D8%A8%D9%84%D8%B3-%D8%A3%D8%B2%D8%B1%D9%82/dp/B0DGJ26Y33/ref=sr_1_25,Amazon,mobiles,apple,ايفون,16,
